timestamp_secs,measured_kW
1697879548,2350.43
1697879549,2360.76
1697879550,2376.44
1697879551,2374.53
1697879552,2373.21
1697879553,2430.52
1697879554,2474.14
1697879555,2476.05
1697879556,2470.13
1697879557,2460.88
1697879558,2412.92
1697879559,2363.34
1697879560,2352.43
1697879561,2339.16
1697879562,2323.58
1697879563,2307.79
1697879564,2302.68
1697879565,2302.31
1697879566,2322.95
1697879567,2339.32
1697879568,2349.41
1697879569,2359.32
1697879570,2373.62
1697879571,2371.55
1697879572,2376.61
1697879573,2430.60
1697879574,2467.83
1697879575,2474.13
1697879576,2468.57
1697879577,2456.76
1697879578,2408.10
1697879579,2365.26
1697879580,2347.22
1697879581,2334.27
1697879582,2324.11
1697879583,2309.05
1697879584,2304.16
1697879585,2304.16
1697879586,2325.08
1697879587,2339.38
1697879588,2349.84
1697879589,2355.74
1697879590,2368.62
1697879591,2364.78
1697879592,2370.00
1697879593,2424.46
1697879594,2463.98
1697879595,2470.24
1697879596,2464.38
1697879597,2459.47
1697879598,2406.60
1697879599,2365.61
1697879600,2349.96
1697879601,2335.73
1697879602,2327.42
1697879603,2311.01
1697879604,2303.79
1697879605,2299.51
1697879606,2316.05
1697879607,2336.18
1697879608,2343.98
1697879609,2354.32
1697879610,2369.29
1697879611,2373.23
1697879612,2370.76
1697879613,2426.76
1697879614,2462.50
1697879615,2467.07
1697879616,2461.17
1697879617,2452.85
1697879618,2409.25
1697879619,2365.61
1697879620,2351.10
1697879621,2335.40
1697879622,2325.80
1697879623,2307.95
1697879624,2302.11
1697879625,2300.17
1697879626,2323.04
1697879627,2345.10
1697879628,2354.45
1697879629,2363.06
1697879630,2377.34
1697879631,2375.26
1697879632,2371.46
1697879633,2429.48
1697879634,2466.47
1697879635,2471.64
1697879636,2468.26
1697879637,2460.03
1697879638,2404.44
1697879639,2366.61
1697879640,2347.23
1697879641,2335.13
1697879642,2324.40
1697879643,2309.65
1697879644,2302.83
1697879645,2300.78
1697879646,2318.37
1697879647,2342.08
1697879648,2352.42
1697879649,2356.85
1697879650,2371.02
1697879651,2371.50
1697879652,2365.96
1697879653,2419.53
1697879654,2463.12
1697879655,2469.77
1697879656,2464.34
1697879657,2455.56
1697879658,2405.93
1697879659,2365.01
1697879660,2346.16
1697879661,2331.20
1697879662,2321.50
1697879663,2308.39
1697879664,2303.28
1697879665,2299.77
1697879666,2314.27
1697879667,2337.78
1697879668,2345.22
1697879669,2354.39
1697879670,2368.85
1697879671,2372.35
1697879672,2370.22
1697879673,2419.65
1697879674,2459.76
1697879675,2468.92
1697879676,2465.92
1697879677,2453.37
1697879678,2407.07
1697879679,2363.49
1697879680,2343.27
1697879681,2330.91
1697879682,2319.74
1697879683,2308.52
1697879684,2303.52
1697879685,2300.03
1697879686,2309.59
1697879687,2338.74
1697879688,2354.55
1697879689,2363.23
1697879690,2376.86
1697879691,2384.20
1697879692,2373.72
1697879693,2422.48
1697879694,2461.76
1697879695,2469.22
1697879696,2466.67
1697879697,2454.83
1697879698,2411.41
1697879699,2365.43
1697879700,2346.99
1697879701,2334.91
1697879702,2324.43
1697879703,2313.40
1697879704,2307.01
1697879705,2302.85
1697879706,2311.36
1697879707,2338.24
1697879708,2343.86
1697879709,2350.57
1697879710,2364.56
1697879711,2370.90
1697879712,2370.95
1697879713,2415.84
1697879714,2468.13
1697879715,2476.51
1697879716,2475.81
1697879717,2462.69
1697879718,2420.87
1697879719,2366.94
1697879720,2348.35
1697879721,2331.22
1697879722,2320.79
1697879723,2309.66
1697879724,2304.84
1697879725,2301.73
1697879726,2306.14
1697879727,2331.07
1697879728,2337.17
1697879729,2344.27
1697879730,2359.37
1697879731,2366.63
1697879732,2365.65
1697879733,2411.14
1697879734,2475.00
1697879735,2479.49
1697879736,2475.48
1697879737,2466.70
1697879738,2428.87
1697879739,2361.30
1697879740,2345.45
1697879741,2333.91
1697879742,2322.19
1697879743,2311.42
1697879744,2303.69
1697879745,2299.61
1697879746,2310.63
1697879747,2331.08
1697879748,2341.13
1697879749,2352.59
1697879750,2368.48
1697879751,2373.57
1697879752,2373.40
1697879753,2412.00
1697879754,2464.19
1697879755,2471.73
1697879756,2468.34
1697879757,2462.02
1697879758,2423.33
1697879759,2366.86
1697879760,2346.94
1697879761,2334.13
1697879762,2320.55
1697879763,2309.62
1697879764,2301.37
1697879765,2297.04
1697879766,2310.73
1697879767,2333.96
1697879768,2346.80
1697879769,2355.92
1697879770,2371.12
1697879771,2376.19
1697879772,2373.48
1697879773,2407.71
1697879774,2460.42
1697879775,2470.92
1697879776,2467.69
