timestamp_secs,measured_kW
1699782677,3420.97
1699783277,3580.47
1699783877,3457.47
1699784477,5075.89
1699785077,5059.23
1699785677,5130.92
1699786277,5071.09
1699786877,5093.83
1699787477,4955.36
1699788077,3689.77
1699788677,3723.16
1699789277,3879.87
1699789877,3873.15
1699790477,3790.72
1699791077,3980.44
1699791677,3845.59
1699792277,3922.28
1699792877,3909.47
1699793477,4107.59
1699794077,3736.72
1699794677,3733.55
1699795277,3718.34
1699795877,3838.54
1699796477,3738.35
1699797077,3983.76
1699797677,3778.71
1699798277,4027.44
1699798877,3808.72
1699799477,3998.55
1699800077,3777.46
1699800677,3879.89
1699801277,3840.24
1699801877,3454.06
1699802477,3888.17
1699803077,3754.00
1699803677,3762.43
1699804277,3419.11
1699804877,3880.97
1699805477,3643.10
1699806077,3655.80
1699806677,3773.61
1699807277,3198.83
1699807877,3452.93
1699808477,3776.32
1699809077,3870.35
1699809677,3818.91
1699810277,3850.22
1699810877,3763.58
1699811477,3870.13
1699812077,3792.65
1699812677,3714.38
1699813277,3608.09
1699813877,3366.37
1699814477,3345.03
1699815077,3653.63
1699815677,3212.82
1699816277,3118.59
1699816877,3560.38
1699817477,3534.67
1699818077,3567.72
1699818677,3494.07
1699819277,3766.72
1699819877,3546.11
1699820477,3693.93
1699821077,3715.54
1699821677,3643.08
1699822277,3832.96
1699822877,3894.19
1699823477,3901.38
1699824077,3827.83
1699824677,3467.60
1699825277,3868.92
1699825877,3755.81
1699826477,3678.37
1699827077,3880.14
1699827677,3648.17
1699828277,3532.19
1699828877,3976.43
1699829477,3742.14
1699830077,3692.37
1699830677,3747.19
1699831277,3662.99
1699831877,3418.08
1699832477,3856.82
1699833077,3452.38
1699833677,3423.67
1699834277,3796.63
1699834877,3549.84
1699835477,3451.09
1699836077,3406.97
1699836677,3602.56
1699837277,3462.36
1699837877,3689.83
1699838477,3375.93
1699839077,3633.44
1699839677,3787.31
1699840277,3712.62
1699840877,3406.53
1699841477,3477.20
1699842077,3529.97
1699842677,3626.52
1699843277,3583.02
1699843877,3619.57
1699844477,3550.53
1699845077,3470.06
1699845677,3328.64
1699846277,3569.71
1699846877,3504.35
1699847477,3579.66
1699848077,3569.76
1699848677,3579.90
1699849277,3601.58
1699849877,3700.95
1699850477,3449.56
1699851077,3662.48
1699851677,3655.40
1699852277,3418.64
1699852877,3634.03
1699853477,3642.11
1699854077,4367.85
1699854677,4218.97
1699855277,4175.77
1699855877,4363.40
1699856477,4491.64
1699857077,4677.62
1699857677,4548.25
1699858277,4344.93
1699858877,4513.20
1699859477,4559.79
1699860077,4479.98
1699860677,4345.04
1699861277,4512.05
1699861877,4164.77
1699862477,4327.20
1699863077,4598.53
1699863677,4592.41
1699864277,4502.72
1699864877,3970.32
1699865477,4139.28
1699866077,4525.35
1699866677,4418.56
1699867277,4523.13
1699867877,4445.36
1699868477,4353.08
1699869077,4312.29
1699869677,4511.14
1699870277,4405.88
1699870877,4482.39
1699871477,4125.69
1699872077,4321.57
1699872677,4201.98
1699873277,4260.87
1699873877,4290.12
1699874477,3994.22
1699875077,3979.37
1699875677,3481.63
1699876277,3469.83
1699876877,3667.87
1699877477,3448.54
1699878077,3396.68
1699878677,3438.88
1699879277,3294.50
1699879877,3537.57
1699880477,3440.58
1699881077,3263.55
1699881677,3174.02
1699882277,3554.34
1699882877,3541.42
1699883477,5275.30
1699884077,4967.94
1699884677,4668.92
1699885277,4515.82
1699885877,4492.02
1699886477,4432.60
1699887077,2965.48
1699887677,3228.81
1699888277,3090.71
1699888877,3298.82
1699889477,3195.99
1699890077,3247.91
1699890677,3403.63
1699891277,3301.44
1699891877,3285.34
1699892477,3174.23
1699893077,3259.94
1699893677,3285.92
1699894277,3335.98
1699894877,3133.77
1699895477,3174.29
1699896077,3669.49
1699896677,3276.24
1699897277,3300.62
1699897877,3353.51
1699898477,3289.19
1699899077,3279.02
1699899677,3384.83
1699900277,3406.46
